Target Distance: 50, Step Size: 2
0: x, y: 0, 0

1: x, y: -0.312869, 0

2: x, y: 0.65675, 0

3: x, y: -0.940521, 0

4: x, y: -2.73811, 0

5: x, y: -4.6787, 0

6: x, y: -2.70332, 0

7: x, y: -0.747028, 0

8: x, y: -2.00567, 0

9: x, y: -0.0105411, 0

10: x, y: 0.706195, 0

11: x, y: 2.04446, 0

12: x, y: 2.04446, 0

13: x, y: 0.0748406, 0

14: x, y: 1.73292, 0

15: x, y: 3.51493, 0

16: x, y: 5.02435, 0

17: x, y: 3.93507, 0

18: x, y: 4.24794, 0

19: x, y: 2.29164, 0

20: x, y: 0.464553, 0

21: x, y: -1.02174, 0

22: x, y: 0.845424, 0

23: x, y: -0.243854, 0

24: x, y: -1.39101, 0

25: x, y: -0.272621, 0

26: x, y: -0.167949, 0

27: x, y: -2.11669, 0

28: x, y: -3.26384, 0

29: x, y: -5.07646, 0

30: x, y: -4.93695, 0

31: x, y: -4.55533, 0

32: x, y: -2.65321, 0

33: x, y: -0.704474, 0

34: x, y: 1.07754, 0

35: x, y: -0.336674, 0

36: x, y: -1.24466, 0

37: x, y: 0.754126, 0

38: x, y: -0.923215, 0

39: x, y: -2.73583, 0

40: x, y: -2.80563, 0

41: x, y: -3.9812, 0

42: x, y: -4.76266, 0

43: x, y: -4.69286, 0

44: x, y: -2.70382, 0

45: x, y: -3.6118, 0

46: x, y: -5.39381, 0

47: x, y: -6.85652, 0

48: x, y: -8.57086, 0

49: x, y: -6.67982, 0

50: x, y: -5.64974, 0

51: x, y: -3.93541, 0

52: x, y: -2.18617, 0

53: x, y: -0.186168, 0

54: x, y: -2.18495, 0

55: x, y: -1.30821, 0

56: x, y: -2.98555, 0

57: x, y: -4.24419, 0

58: x, y: -5.79848, 0

59: x, y: -6.97405, 0

60: x, y: -7.88203, 0

61: x, y: -7.9867, 0

62: x, y: -7.77765, 0

63: x, y: -8.02139, 0

64: x, y: -6.09886, 0

65: x, y: -6.27317, 0

66: x, y: -4.69715, 0

67: x, y: -3.21086, 0

68: x, y: -1.22577, 0

69: x, y: -1.40008, 0

70: x, y: -2.54724, 0

71: x, y: -4.53962, 0

72: x, y: -5.85174, 0

73: x, y: -6.26757, 0

74: x, y: -4.95545, 0

75: x, y: -3.29737, 0

76: x, y: -2.81353, 0

77: x, y: -0.872938, 0

78: x, y: -2.82168, 0

79: x, y: -3.53841, 0

80: x, y: -1.86107, 0

81: x, y: -3.49938, 0

82: x, y: -2.26805, 0

83: x, y: -2.61535, 0

84: x, y: -1.4682, 0

85: x, y: -1.538, 0

86: x, y: -0.953253, 0

87: x, y: 0.222318, 0

88: x, y: 1.42595, 0

89: x, y: 0.807914, 0

90: x, y: 2.69895, 0

91: x, y: 1.36069, 0

92: x, y: 3.21506, 0

93: x, y: 2.76516, 0

94: x, y: 4.29724, 0

95: x, y: 5.52857, 0

96: x, y: 4.91053, 0

97: x, y: 6.86683, 0

98: x, y: 8.63272, 0

99: x, y: 10.4453, 0

100: x, y: 12.4259, 0

101: x, y: 10.4408, 0

102: x, y: 9.69157, 0

103: x, y: 11.3689, 0

104: x, y: 10.7509, 0

105: x, y: 9.6616, 0

106: x, y: 11.5026, 0

107: x, y: 12.1866, 0

108: x, y: 12.8378, 0

109: x, y: 10.8381, 0

110: x, y: 10.8032, 0

111: x, y: 9.54454, 0

112: x, y: 11.5397, 0

113: x, y: 9.53998, 0

114: x, y: 8.57036, 0

115: x, y: 10.2847, 0

116: x, y: 12.2844, 0

117: x, y: 14.2649, 0

118: x, y: 15.6032, 0

119: x, y: 17.5257, 0

120: x, y: 17.9073, 0

121: x, y: 16.0663, 0

122: x, y: 15.0362, 0

123: x, y: 13.3589, 0

124: x, y: 11.7409, 0

125: x, y: 12.392, 0

126: x, y: 10.501, 0

127: x, y: 12.4997, 0

128: x, y: 12.256, 0

129: x, y: 12.047, 0

130: x, y: 12.9549, 0

131: x, y: 14.9546, 0

132: x, y: 14.1094, 0

133: x, y: 12.6467, 0

134: x, y: 13.3634, 0

135: x, y: 11.9994, 0

136: x, y: 13.969, 0

137: x, y: 14.1781, 0

138: x, y: 13.2085, 0

139: x, y: 11.4592, 0

140: x, y: 12.5485, 0

141: x, y: 14.5181, 0

142: x, y: 13.5792, 0

143: x, y: 11.9819, 0

144: x, y: 11.6003, 0

145: x, y: 11.5305, 0

146: x, y: 11.3562, 0

147: x, y: 9.8699, 0

148: x, y: 10.8088, 0

149: x, y: 12.2715, 0

150: x, y: 13.9859, 0

151: x, y: 12.7272, 0

152: x, y: 10.8251, 0

153: x, y: 11.7641, 0

154: x, y: 11.146, 0

155: x, y: 11.0762, 0

156: x, y: 9.10086, 0

157: x, y: 7.86954, 0

158: x, y: 9.86467, 0

159: x, y: 11.0402, 0

160: x, y: 12.1001, 0

161: x, y: 13.9672, 0

162: x, y: 12.3092, 0

163: x, y: 13.9865, 0

164: x, y: 13.2373, 0

165: x, y: 14.7916, 0

166: x, y: 13.3289, 0

167: x, y: 11.4495, 0

168: x, y: 12.8637, 0

169: x, y: 13.4817, 0

170: x, y: 13.7946, 0

171: x, y: 11.8459, 0

172: x, y: 10.0639, 0

173: x, y: 10.6151, 0

174: x, y: 11.4286, 0

175: x, y: 9.85258, 0

176: x, y: 9.23454, 0

177: x, y: 10.016, 0

178: x, y: 9.8417, 0

179: x, y: 8.50343, 0

180: x, y: 9.44238, 0

181: x, y: 11.24, 0

182: x, y: 11.1005, 0

183: x, y: 12.0394, 0

184: x, y: 12.5907, 0

185: x, y: 10.6681, 0

186: x, y: 11.6681, 0

187: x, y: 9.85553, 0

188: x, y: 8.67996, 0

189: x, y: 7.02189, 0

190: x, y: 8.98514, 0

191: x, y: 7.32707, 0

192: x, y: 6.06842, 0

193: x, y: 5.82469, 0

194: x, y: 5.82469, 0

195: x, y: 5.23994, 0

196: x, y: 4.9616, 0

197: x, y: 3.49889, 0

198: x, y: 3.46398, 0

199: x, y: 2.91271, 0

200: x, y: 4.72532, 0

201: x, y: 5.03819, 0

202: x, y: 6.78743, 0

203: x, y: 5.25534, 0

204: x, y: 6.96968, 0

205: x, y: 8.05896, 0

206: x, y: 10.0077, 0

207: x, y: 11.562, 0

208: x, y: 12.926, 0

209: x, y: 13.61, 0

210: x, y: 13.2972, 0

211: x, y: 11.6198, 0

212: x, y: 9.63077, 0

213: x, y: 11.0935, 0

214: x, y: 13.0825, 0

215: x, y: 13.6338, 0

216: x, y: 11.9377, 0

217: x, y: 10.1106, 0

218: x, y: 12.086, 0

219: x, y: 13.086, 0

220: x, y: 12.9117, 0

221: x, y: 14.4438, 0

222: x, y: 12.4465, 0

223: x, y: 11.3281, 0

224: x, y: 13.2075, 0

225: x, y: 11.2102, 0

226: x, y: 9.26965, 0

227: x, y: 7.50376, 0

228: x, y: 9.50254, 0

229: x, y: 7.5538, 0

230: x, y: 8.99248, 0

231: x, y: 8.0845, 0

232: x, y: 6.96611, 0

233: x, y: 8.60442, 0

234: x, y: 10.5607, 0

235: x, y: 11.4059, 0

236: x, y: 12.5531, 0

237: x, y: 14.1504, 0

238: x, y: 15.0271, 0

239: x, y: 16.7592, 0

240: x, y: 18.7516, 0

241: x, y: 19.3696, 0

242: x, y: 19.4743, 0

243: x, y: 17.877, 0

244: x, y: 19.6896, 0

245: x, y: 21.665, 0

246: x, y: 22.8686, 0

247: x, y: 23.1124, 0

248: x, y: 22.6285, 0

249: x, y: 22.9069, 0

250: x, y: 24.1382, 0

251: x, y: 23.0489, 0

252: x, y: 21.1695, 0

253: x, y: 21.2742, 0

254: x, y: 23.1152, 0

255: x, y: 24.4008, 0

256: x, y: 26.3898, 0

257: x, y: 25.0258, 0

258: x, y: 23.9957, 0

259: x, y: 25.482, 0

260: x, y: 26.5713, 0

261: x, y: 25.3677, 0

262: x, y: 23.4358, 0

263: x, y: 22.9182, 0

264: x, y: 22.3334, 0

265: x, y: 21.4882, 0

266: x, y: 21.8698, 0

267: x, y: 21.8698, 0

268: x, y: 23.4019, 0

269: x, y: 24.6055, 0

270: x, y: 26.3376, 0

271: x, y: 28.3349, 0

272: x, y: 29.9732, 0

273: x, y: 31.7552, 0

274: x, y: 30.4696, 0

275: x, y: 32.1839, 0

276: x, y: 33.3311, 0

277: x, y: 31.8217, 0

278: x, y: 31.8217, 0

279: x, y: 32.5384, 0

280: x, y: 30.8611, 0

281: x, y: 28.8611, 0

282: x, y: 27.243, 0

283: x, y: 27.6589, 0

284: x, y: 29.6561, 0

285: x, y: 29.8998, 0

286: x, y: 31.8695, 0

287: x, y: 33.2335, 0

288: x, y: 34.4371, 0

289: x, y: 32.5699, 0

290: x, y: 34.5696, 0

291: x, y: 34.4301, 0

292: x, y: 35.4602, 0

293: x, y: 34.2015, 0

294: x, y: 35.5137, 0

295: x, y: 35.6532, 0

296: x, y: 33.8556, 0

297: x, y: 35.4316, 0

298: x, y: 33.7735, 0

299: x, y: 35.6145, 0

300: x, y: 34.3832, 0

301: x, y: 32.5856, 0

302: x, y: 33.4624, 0

303: x, y: 31.5952, 0

304: x, y: 30.0409, 0

305: x, y: 29.591, 0

306: x, y: 29.9383, 0

307: x, y: 27.9432, 0

308: x, y: 26.7676, 0

309: x, y: 24.9856, 0

310: x, y: 25.7023, 0

311: x, y: 27.6975, 0

312: x, y: 28.6055, 0

313: x, y: 26.6131, 0

314: x, y: 28.0517, 0

315: x, y: 29.8928, 0

316: x, y: 31.856, 0

317: x, y: 30.7376, 0

